-- table name
特別登録馬	SpecialRegisteredHorses
競走種別コード	raceTypeCode
競走記号コード	raceSymbolCode
重量種別コード	weightTypeCode
競走条件コード 2歳条件	raceConditionCode2YearOld
競走条件コード 3歳条件	raceConditionCode3YearOld
競走条件コード 4歳条件	raceConditionCode4YearOld
競走条件コード 5歳以上条件	raceConditionCode5YearOldAndAbove
競走条件コード 最若年条件	raceConditionCodeYoungest
競走条件名称	raceConditionName
距離	distance
変更前距離	previousDistance
トラックコード	trackCode
変更前トラックコード	previousTrackCode
コース区分	courseCategory
変更前コース区分	previousCourseCategory
本賞金	mainPrizeMoney
変更前本賞金	previousPrizeMoney
付加賞金	additionalPrizeMoney
変更前付加賞金	previousAdditionalPrizeMoney
発走時刻	startTime
変更前発走時刻	previousStartTime
登録頭数	registeredHorsesCount
出走頭数	numberOfRunners
入線頭数	horsesFinishedCount
天候コード	weatherCode
芝馬場状態コード	turfConditionCode
ダート馬場状態コード	dirtConditionCode
ラップタイム	lapTime
障害マイルタイム	obstacleMileTime
前3ハロン	first3Furlongs
前4ハロン	first4Furlongs
後3ハロン	last3Furlongs
後4ハロン	last4Furlongs
<コーナー通過順位>	CornerPassingOrder
レコード更新区分	recordUpdateCategory
データ区分	dataCategory
データ作成年月日	creationDate
開催年	eventYear
開催月日	eventMonthDay
競馬場コード	raceCourseCode
開催回[第N回]	eventRound
開催日目[N日目]	eventDay
レース番号	raceNumber
枠番	frameNumber
馬番	horseNumber
血統登録番号	bloodlineNumber
馬名	horseName
馬記号コード	horseSymbolCode
性別コード	genderCode
品種コード	breedCode
毛色コード	coatColorCode
馬齢	age
東西所属コード	horseRegionAffiliationCode
調教師コード	trainerCode
調教師名略称	trainerNameAbbreviation
馬主コード	ownerCode
馬主名(法人格無)	ownerNameWithoutCorp
服色標示	jockeyUniformColor
負担重量	carriedWeight
変更前負担重量	previousCarriedWeight
ブリンカー使用区分	blinkerUsage
騎手コード	jockeyCode
変更前騎手コード	previousJockeyCode
騎手名略称	jockeyNameAbbreviation
変更前騎手名略称	previousJockeyNameShort
騎手見習コード	apprenticeJockeyCode
変更前騎手見習コード	previousApprenticeJockeyCode
馬体重	HorseWeight
増減符号	weightChangeSign
増減差	weightChange
異常区分コード	abnormalityCode
入線順位	finishOrder
確定着順	confirmedPlacement
同着区分	deadHeatFlag
同着頭数	deadHeatCount
走破タイム	raceTime
着差コード	marginCode
＋着差コード	plusMarginCode
＋＋着差コード	doublePlusMarginCode
1コーナーでの順位	corner1Order
2コーナーでの順位	corner2Order
3コーナーでの順位	corner3Order
4コーナーでの順位	corner4Order
単勝オッズ	winOdds
単勝人気順	winPopularityOrder
獲得本賞金	prizeMoney
獲得付加賞金	additionalPrizeMoney
後4ハロンタイム	last4FTime
後3ハロンタイム	last3FTime
<1着馬(相手馬)情報>	FirstPlaceHorseInfo
タイム差	timeDifference
レコード更新区分	recordUpdateCategory
マイニング区分	miningCategory
マイニング予想走破タイム	miningEstimatedTime
マイニング予想誤差(信頼度)＋	miningEstimatedErrorPlus
マイニング予想誤差(信頼度)－	miningEstimatedErrorMinus
マイニング予想順位	miningEstimatedRank
今回レース脚質判定	racePaceDetermination
データ区分	dataCategory
データ作成年月日	creationDate
開催年	eventYear
開催月日	eventMonthDay
競馬場コード	raceCourseCode
開催回[第N回]	eventRound
開催日目[N日目]	eventDay
レース番号	raceNumber
登録頭数	registeredHorsesCount
出走頭数	numberOfRunners
不成立フラグ　単勝	invalidFlagWin
不成立フラグ　複勝	invalidFlagPlace
不成立フラグ　枠連	invalidFlagBracketQuinella
不成立フラグ　馬連	invalidFlagQuinella
不成立フラグ　ワイド	invalidFlagWide
不成立フラグ　馬単	invalidFlagExacta
不成立フラグ　3連複	invalidFlagTrio
不成立フラグ　3連単	invalidFlagTrifecta
特払フラグ　単勝	specialPayFlagWin
特払フラグ　複勝	specialPayFlagPlace
特払フラグ　枠連	specialPayFlagFrameBracketQuinella
特払フラグ　馬連	specialPayFlagQuinella
特払フラグ　ワイド	specialPayFlagWide
特払フラグ　馬単	specialPayFlagExacta
特払フラグ　3連複	specialPayFlagTrio
特払フラグ　3連単	specialPayFlagTrifecta
返還フラグ　単勝	refundFlagWin
返還フラグ　複勝	refundFlagPlace
返還フラグ　枠連	refundFlagBracketQuinella
返還フラグ　馬連	refundFlagQuinella
返還フラグ　ワイド	refundFlagWide
返還フラグ　馬単	refundFlagExacta
返還フラグ　3連複	refundFlagTrio
返還フラグ　3連単	refundFlagTrifecta
返還馬番情報(馬番01～28)	refundHorseNumberInfo
返還枠番情報(枠番1～8)	refundBracketNumberInfo
返還同枠情報(枠番1～8)	refundSameBracketInfo
<単勝払戻>	WinPayout
<複勝払戻>	PlacePayout
<枠連払戻>	BracketQuinellaPayout
<馬連払戻>	QuinellaPayout
<ワイド払戻>	WidePayout
<予備>	reserved
<馬単払戻>	ExactaPayout
<3連複払戻>	TrioPayout
<3連単払戻>	TrifectaPayout
データ区分	dataCategory
データ作成年月日	creationDate
開催年	eventYear
開催月日	eventMonthDay
競馬場コード	raceCourseCode
開催回[第N回]	eventRound
開催日目[N日目]	eventDay
レース番号	raceNumber
登録頭数	registeredHorsesCount
出走頭数	numberOfRunners
発売フラグ　単勝	saleFlagWin
発売フラグ　複勝	saleFlagPlace
発売フラグ　枠連	saleFlagBracketQuinella
発売フラグ　馬連	saleFlagQuinella
発売フラグ　ワイド	saleFlagWide
発売フラグ　馬単	saleFlagExacta
発売フラグ　3連複	saleFlagTrio
複勝着払キー	placePayoutKey
返還馬番情報(馬番01～28)	refundHorseNumberInfo
返還枠番情報(枠番1～8)	refundBracketNumberInfo
返還同枠情報(枠番1～8)	refundSameBracketInfo
<単勝票数>	WinVotes
<複勝票数>	PlaceVotes
<枠連票数>	BracketQuinellaVotes
<馬連票数>	QuinellaVotes
<ワイド票数>	WideVotes
<馬単票数>	ExactaVotes
<3連複票数>	TrioVotes
単勝票数合計	totalWinVotes
複勝票数合計	totalPlaceVotes
枠連票数合計	totalBracketQuinellaVotes
馬連票数合計	totalQuinellaVotes
ワイド票数合計	totalWideVotes
馬単票数合計	totalExactaVotes
3連複票数合計	totalTrioVotes
単勝返還票数合計	totalWinRefundVotes
複勝返還票数合計	totalPlaceRefundVotes
枠連返還票数合計	totalBracketQuinellaRefundVotes
馬連返還票数合計	totalQuinellaRefundVotes
ワイド返還票数合計	totalWideRefundVotes
馬単返還票数合計	totalExactaRefundVotes
3連複返還票数合計	totalTrioReundVotes
データ区分	dataCategory
データ作成年月日	creationDate
開催年	eventYear
開催月日	eventMonthDay
競馬場コード	raceCourseCode
開催回[第N回]	eventRound
開催日目[N日目]	eventDay
レース番号	raceNumber
登録頭数	registeredHorsesCount
出走頭数	numberOfRunners
発売フラグ　3連単	saleFlagTrifecta
返還馬番情報(馬番01～18)	refundHorseNumberInfo
<3連単票数>	TrifectaVotes
3連単票数合計	totalTrifectaVotes
3連単返還票数合計	totalTrifectaRefundVotes
データ区分	dataCategory
データ作成年月日	creationDate
開催年	eventYear
開催月日	eventMonthDay
競馬場コード	raceCourseCode
開催回[第N回]	eventRound
開催日目[N日目]	eventDay
レース番号	raceNumber
発表月日時分	announcementDateTime
登録頭数	registeredHorsesCount
出走頭数	numberOfRunners
発売フラグ　単勝	saleFlagWin
発売フラグ　複勝	saleFlagPlace
発売フラグ　枠連	saleFlagBracketQuinella
複勝着払キー	placePayoutKey
<単勝オッズ>	WinOdds
<複勝オッズ>	PlaceOdds
<枠連オッズ>	BracketQuinellaOdds
単勝票数合計	totalWinVotes
複勝票数合計	totalPlaceVotes
枠連票数合計	totalBracketQuinellaVotes
データ区分	dataCategory
データ作成年月日	creationDate
開催年	eventYear
開催月日	eventMonthDay
競馬場コード	raceCourseCode
開催回[第N回]	eventRound
開催日目[N日目]	eventDay
レース番号	raceNumber
発表月日時分	announcementDateTime
登録頭数	registeredHorsesCount
出走頭数	numberOfRunners
発売フラグ　馬連	saleFlagQuinella
<馬連オッズ>	QuinellaOdds
馬連票数合計	totalQuinellaVotes
データ区分	dataCategory
データ作成年月日	creationDate
開催年	eventYear
開催月日	eventMonthDay
競馬場コード	raceCourseCode
開催回[第N回]	eventRound
開催日目[N日目]	eventDay
レース番号	raceNumber
発表月日時分	announcementDateTime
登録頭数	registeredHorsesCount
出走頭数	numberOfRunners
発売フラグ　ワイド	saleFlagWide
<ワイドオッズ>	WideOdds
ワイド票数合計	totalWideVotes
データ区分	dataCategory
データ作成年月日	creationDate
開催年	eventYear
開催月日	eventMonthDay
競馬場コード	raceCourseCode
開催回[第N回]	eventRound
開催日目[N日目]	eventDay
レース番号	raceNumber
発表月日時分	announcementDateTime
登録頭数	registeredHorsesCount
出走頭数	numberOfRunners
発売フラグ　馬単	saleFlagExacta
<馬単オッズ>	ExactaOdds
馬単票数合計	totalExactaVotes
データ区分	dataCategory
データ作成年月日	creationDate
開催年	eventYear
開催月日	eventMonthDay
競馬場コード	raceCourseCode
開催回[第N回]	eventRound
開催日目[N日目]	eventDay
レース番号	raceNumber
発表月日時分	announcementDateTime
登録頭数	registeredHorsesCount
出走頭数	numberOfRunners
発売フラグ　3連複	saleFlagTrio
<3連複オッズ>	TrioOdds
3連複票数合計	totalTrioVotes
データ区分	dataCategory
データ作成年月日	creationDate
開催年	eventYear
開催月日	eventMonthDay
競馬場コード	raceCourseCode
開催回[第N回]	eventRound
開催日目[N日目]	eventDay
レース番号	raceNumber
発表月日時分	announcementDateTime
登録頭数	registeredHorsesCount
出走頭数	numberOfRunners
発売フラグ　3連単	saleFlagTrifecta
<3連単オッズ>	TrifectaOdds
3連単票数合計	totalTrifectaVotes
データ区分	dataCategory
データ作成年月日	creationDate
血統登録番号	bloodlineNumber
競走馬抹消区分	horseDeletionCategory
競走馬登録年月日	horseRegistrationDate
競走馬抹消年月日	horseDeletionDate
生年月日	birthDate
馬名	horseName
馬名半角ｶﾅ	horseNameKana
馬名欧字	horseNameEng
JRA施設在きゅうフラグ	jraFacilityFlag
馬記号コード	horseSymbolCode
性別コード	genderCode
品種コード	breedCode
毛色コード	coatColorCode
<3代血統情報>	ThreeGenerationsPedigree
東西所属コード	horseRegionAffiliationCode
調教師コード	trainerCode
招待地域名	invitationRegionName
生産者コード	producerCode
産地名	placeOfBirth
馬主コード	ownerCode
平地本賞金累計	flatMainPrizeMonayCumulative
障害本賞金累計	obstacleMainPrizeMoneyCumulative
平地付加賞金累計	flatAdditinalPrizeMoneyCumulative
障害付加賞金累計	obstacleAdditionalPrizeMoneyCumulative
平地収得賞金累計	flatEarningsPrizeMoneyCumulative
障害収得賞金累計	obstacleEarningsPrizeMoneyCumulative
総合着回数	totalPlacementCount
中央合計着回数	centralTotalPlacementCount
芝直・着回数	turfStraightPlacementCount
芝右・着回数	turfRightPlacementCount
芝左・着回数	turfLeftPlacementCount
ダ直・着回数	dirtStraightPlacementCount
ダ右・着回数	dirtRightPlacementCount
ダ左・着回数	dirtLeftPlacementCount
障害・着回数	obstaclePlacementCount
芝良・着回数	turfGoodPlacementCount
芝稍・着回数	turfSlightlyHeavyPlacementCount
芝重・着回数	turfHeavyPlacementCount
芝不・着回数	turfBadPlacementCount
ダ良・着回数	dirtGoodPlacementCount
ダ稍・着回数	dirtSlightlyHeavyPlacementCount
ダ重・着回数	dirtHeavyPlacementCount
ダ不・着回数	dirtBadPlacementCount
障良・着回数	obstacleGoodPlacementCount
障稍・着回数	obstacleSlightlyHeavyPlacementCount
障重・着回数	obstacleHeavyPlacementCount
障不・着回数	obstacleBadPlacementCount
芝16下・着回数	turfUnder16PlacementCount
芝22下・着回数	turfUnder22PlacementCount
芝22超・着回数	turfOver22PlacementCount
ダ16下・着回数	dirtUnder16PlacementCount
ダ22下・着回数	dirtUnder22PlacementCount
ダ22超・着回数	dirtOver22PlacementCount
脚質傾向	runningStyleTendency
登録レース数	registeredRaceCount
データ区分	dataCategory
データ作成年月日	creationDate
騎手コード	jockeyCode
騎手抹消区分	jockeyCancellationCategory
騎手免許交付年月日	jockeyLicenseIssuanceDate
騎手免許抹消年月日	jockeyLicenseCancellationDate
生年月日	birthDate
騎手名	jockeyName
騎手名半角ｶﾅ	jockeyNameKana
騎手名略称	jockeyNameAbbreviation
騎手名欧字	jockeyNameEng
性別区分	genderCategory
騎乗資格コード	ridingQualificationCode
騎手見習コード	apprenticeJockeyCode
騎手東西所属コード	jockeyRegionAffiliationCode
招待地域名	invitationRegionName
所属調教師コード	affiliatedTrainerCode
<初騎乗情報>	該当なし
<初勝利情報>	該当なし
<最近重賞勝利情報>	該当なし
<本年･前年･累計成績情報>	該当なし
データ区分	dataCategory
データ作成年月日	creationDate
調教師コード	trainerCode
調教師抹消区分	trainerDeletionCategory
調教師免許交付年月日	trainerLicenseIssueDate
調教師免許抹消年月日	trainerLicenseCancellationDate
生年月日	birthDate
調教師名	trainerName
調教師名半角ｶﾅ	trainerNameKana
調教師名略称	trainerNameAbbreviation
調教師名欧字	trainerNameEng
性別区分	genderCategory
調教師東西所属コード	trainerRegionAffiliationCode
招待地域名	invitationRegionName
<最近重賞勝利情報>	該当なし
<本年･前年･累計成績情報>	該当なし
データ区分	dataCategory
データ作成年月日	creationDate
生産者コード	producerCode
生産者名(法人格有)	producerNameWithCorp
生産者名(法人格無)	producerNameWithoutCorp
生産者名半角ｶﾅ	producerNameKana
生産者名欧字	producerNameEng
生産者住所自治省名	producerAddressPrefecture
<本年･累計成績情報>	CurrentAndCumulativeInfo
データ区分	dataCategory
データ作成年月日	creationDate
馬主コード	ownerCode
馬主名(法人格有)	ownerNameWithCorp
馬主名(法人格無)	ownerNameWithoutCorp
馬主名半角ｶﾅ	ownerNameKana
馬主名欧字	ownerNameEng
服色標示	jockeyUniformColor
<本年･累計成績情報>	CurrentAndCumulativeInfo
データ区分	dataCategory
データ作成年月日	creationDate
繁殖登録番号	breedingRegistrationNumber
血統登録番号	bloodlineNumber
馬名	horseName
馬名半角ｶﾅ	horseNameKana
馬名欧字	horseNameEng
生年	birthYear
性別コード	genderCode
品種コード	breedCode
毛色コード	coatColorCode
繁殖馬持込区分	breedingHorseImportDivision
輸入年	importYear
産地名	placeOfBirth
父馬繁殖登録番号	fatherHorseBreedingRegNumber
母馬繁殖登録番号	motherHorseBreedingRegNumber
データ区分	dataCategory
データ作成年月日	creationDate
血統登録番号	bloodlineNumber
生年月日	birthDate
性別コード	genderCode
品種コード	breedCode
毛色コード	coatColorCode
産駒持込区分	offspringImportCategory
輸入年	importYear
生産者コード	producerCode
産地名	placeOfBirth
データ区分	dataCategory
データ作成年月日	creationDate
開催年	eventYear
開催月日	eventMonthDay
競馬場コード	raceCourseCode
開催回[第N回]	eventRound
開催日目[N日目]	eventDay
レース番号	raceNumber
血統登録番号	bloodlineNumber
平地本賞金累計	flatMainPrizeMonayCumulative
障害本賞金累計	obstacleMainPrizeMoneyCumulative
平地付加賞金累計	flatAdditinalPrizeMoneyCumulative
障害付加賞金累計	obstacleAdditionalPrizeMoneyCumulative
平地収得賞金累計	flatEarningsPrizeMoneyCumulative
障害収得賞金累計	obstacleEarningsPrizeMoneyCumulative
総合着回数	totalPlacementCount
中央合計着回数	centralTotalPlacementCount
芝直・着回数	turfStraightPlacementCount
芝右・着回数	turfRightPlacementCount
芝左・着回数	turfLeftPlacementCount
ダ直・着回数	dirtStraightPlacementCount
ダ右・着回数	dirtRightPlacementCount
ダ左・着回数	dirtLeftPlacementCount
障害・着回数	obstaclePlacementCount
芝良・着回数	turfGoodPlacementCount
芝稍・着回数	turfSlightlyHeavyPlacementCount
芝重・着回数	turfHeavyPlacementCount
芝不・着回数	turfBadPlacementCount
ダ良・着回数	dirtGoodPlacementCount
ダ稍・着回数	dirtSlightlyHeavyPlacementCount
ダ重・着回数	dirtHeavyPlacementCount
ダ不・着回数	dirtBadPlacementCount
障良・着回数	obstacleGoodPlacementCount
障稍・着回数	obstacleSlightlyHeavyPlacementCount
障重・着回数	obstacleHeavyPlacementCount
障不・着回数	obstacleBadPlacementCount
芝1200以下・着回数	turf1200OrLessPlacementCounts
芝1201-1400・着回数	turf1201To1400PlacementCounts
芝1401-1600・着回数	turf1401To1600PlacementCounts
芝1601-1800・着回数	turf1601To1800PlacementCounts
芝1801-2000・着回数	turf1801To2000PlacementCounts
芝2001-2200・着回数	turf2001To2200PlacementCounts
芝2201-2400・着回数	turf2201To2400PlacementCounts
芝2401-2800・着回数	turf2401To2800PlacementCounts
芝2801以上・着回数	turf2801OrMorePlacementCounts
ダ1200以下・着回数	dirt1200OrLessPlacementCount
ダ1201-1400・着回数	dirt1201To1400PlacementCount
ダ1401-1600・着回数	dirt1401To1600PlacementCount
ダ1601-1800・着回数	dirt1601To1800PlacementCount
ダ1801-2000・着回数	dirt1801To2000PlacementCount
ダ2001-2200・着回数	dirt2001To2200PlacementCount
ダ2201-2400・着回数	dirt2201To2400PlacementCount
ダ2401-2800・着回数	dirt2401To2800PlacementCount
ダ2801以上・着回数	dirt2801OrMorePlacementCount
札幌芝・着回数	sapporoTurfPlacementCounts
函館芝・着回数	hakodateTurfPlacementCount
福島芝・着回数	fukushimaTurfPlacementCounts
新潟芝・着回数	niigataTurfPlacementCounts
東京芝・着回数	tokyoTurfPlacementCount
中山芝・着回数	nakayamaTurfPlacementCount
中京芝・着回数	chukyoTurfPlacementCount
京都芝・着回数	kyotoTurfPlacementCounts
阪神芝・着回数	hanshinTurfPlacementCounts
小倉芝・着回数	kokuraTurfPlacementCount
札幌ダ・着回数	sapporoDirtPlacementCounts
函館ダ・着回数	hakodateDirtPlacementCount
福島ダ・着回数	fukushimaDirtPlacementCounts
新潟ダ・着回数	niigataDirtPlacementCounts
東京ダ・着回数	tokyoDirtPlacementCount
中山ダ・着回数	nakayamaDirtPlacementCount
中京ダ・着回数	chukyoDirtPlacementCount
京都ダ・着回数	kyotoDirtPlacementCounts
阪神ダ・着回数	hanshinDirtPlacementCounts
小倉ダ・着回数	kokuraDirtPlacementCount
札幌障・着回数	sapporoObstaclePlacementCounts
函館障・着回数	hakodateObstaclePlacementCount
福島障・着回数	fukushimaObstaclePlacementCounts
新潟障・着回数	niigataObstaclePlacementCounts
東京障・着回数	tokyoObstaclePlacementCount
中山障・着回数	nakayamaObstaclePlacementCount
中京障・着回数	chukyoObstaclePlacementCount
京都障・着回数	kyotoObstaclePlacementCounts
阪神障・着回数	hanshinObstaclePlacementCounts
小倉障・着回数	kokuraObstaclePlacementCount
脚質傾向	runningStyleTendency
登録レース数	registeredRaceCount
<騎手本年･累計成績情報>	該当なし
調教師コード	trainerCode
<調教師本年･累計成績情報>	該当なし
馬主コード	ownerCode
<本年･累計成績情報>	CurrentAndCumulativeInfo
生産者コード	producerCode
<本年･累計成績情報>	CurrentAndCumulativeInfo
データ区分	dataCategory
データ作成年月日	creationDate
レコード識別区分	recordIdentificationDivision
開催年	eventYear
開催月日	eventMonthDay
競馬場コード	raceCourseCode
開催回[第N回]	eventRound
開催日目[N日目]	eventDay
レース番号	raceNumber
特別競走番号	specialRaceNumber
競走名本題	raceName
グレードコード	gradeCode
競走種別コード	raceTypeCode
距離	distance
トラックコード	trackCode
レコード区分	recordDelimiter
レコードタイム	recordTime
天候コード	weatherCode
芝馬場状態コード	turfConditionCode
ダート馬場状態コード	dirtConditionCode
<レコード保持馬情報>	該当なし
データ区分	dataCategory
データ作成年月日	creationDate
トレセン区分	trainingCenterCategory
調教年月日	trainingDate
調教時刻	trainingTime
血統登録番号	bloodlineNumber
4ハロンタイム合計(800M～0M)	time800To0
ラップタイム(800M～600M)	lapTime800To600
3ハロンタイム合計(600M～0M)	time600To0
ラップタイム(600M～400M)	lapTime600To400
2ハロンタイム合計(400M～0M)	time400To0
ラップタイム(400M～200M)	lapTime400To200
ラップタイム(200M～0M)	lapTime200To0
データ区分	dataCategory
データ作成年月日	creationDate
血統登録番号	bloodlineNumber
父馬 繁殖登録番号	sireRegistrationNumber
母馬 繁殖登録番号	damRegistrationNumber
生年	birthYear
主催者・市場コード	marketCode
主催者名称	organizerName
市場の名称	marketName
市場の開催期間(開始日)	marketStartDate
市場の開催期間(終了日)	marketEndDate
取引時の競走馬の年齢	horseAgeAtTransaction
取引価格	transactionPrice
データ区分	dataCategory
データ作成年月日	creationDate
血統登録番号	bloodlineNumber
馬名の意味由来	HorseNameOrigin
データ区分	dataCategory
データ作成年月日	creationDate
開催年	eventYear
開催月日	eventMonthDay
競馬場コード	raceCourseCode
開催回[第N回]	eventRound
開催日目[N日目]	eventDay
曜日コード	weekdayCode
<重賞案内>	SpecialRaceInfo
データ区分	dataCategory
データ作成年月日	creationDate
繁殖登録番号	breedingRegistrationNumber
系統ID	lineageId
系統名	lineageName
系統説明	lineageDescription
データ区分	dataCategory
データ作成年月日	creationDate
競馬場コード	raceCourseCode
距離	distance
トラックコード	trackCode
コース改修年月日	courseRenovationDate
コース説明	courseDescription
データ区分	dataCategory
データ作成年月日	creationDate
開催年	eventYear
開催月日	eventMonthDay
競馬場コード	raceCourseCode
開催回[第N回]	eventRound
開催日目[N日目]	eventDay
レース番号	raceNumber
データ作成時分	creationTime
<マイニング予想>	Prediction
データ区分	dataCategory
データ作成年月日	creationDate
開催年	eventYear
開催月日	eventMonthDay
競馬場コード	raceCourseCode
開催回[第N回]	eventRound
開催日目[N日目]	eventDay
レース番号	raceNumber
データ作成時分	creationTime
<マイニング予想>	Prediction
データ区分	dataCategory
データ作成年月日	creationDate
開催年	eventYear
開催月日	eventMonthDay
<重勝式対象レース情報>	該当なし
重勝式発売票数	votes
<有効票数情報>	該当なし
返還フラグ	refundFlag
不成立フラグ	invalidFlag
的中無フラグ	noWinFlag
キャリーオーバー金額初期	initialCarryoverAmount
キャリーオーバー金額残高	remainingCarryoverAmount
<重勝式払戻情報>	該当なし
データ区分	dataCategory
データ作成年月日	creationDate
開催年	eventYear
開催月日	eventMonthDay
競馬場コード	raceCourseCode
開催回[第N回]	eventRound
開催日目[N日目]	eventDay
レース番号	raceNumber
血統登録番号	bloodlineNumber
出馬投票受付順番	entryOrder
出走区分	entryCategory
除外状態区分	exclusionStatus
データ区分	dataCategory
データ作成年月日	creationDate
トレセン区分	trainingCenterCategory
調教年月日	trainingDate
調教時刻	trainingTime
血統登録番号	bloodlineNumber
コース	course
馬場周り	trackDirection
10ハロンタイム合計(2000M～0M)	time2000To0
ラップタイム(2000M～1800M)	lapTime2000To1800
9ハロンタイム合計(1800M～0M)	time1800To0
ラップタイム(1800M～1600M)	lapTime1800To1600
8ロンタイム合計(1600M～0M)	該当なし
ラップタイム(1600M～1400M)	lapTime1600To1400
7ハロンタイム合計(1400M～0M)	time1400To0
ラップタイム(1400M～1200M)	lapTime1400To1200
6ハロンタイム合計(1200M～0M)	time1200To0
ラップタイム(1200M～1000M)	lapTime1200To1000
5ハロンタイム合計(1000M～0M)	time1000To0
ラップタイム(1000M～800M)	lapTime1000To800
4ハロンタイム合計(800M～0M)	time800To0
ラップタイム(800M～600M)	lapTime800To600
3ハロンタイム合計(600M～0M)	time600To0
ラップタイム(600M～400M)	lapTime600To400
2ハロンタイム合計(400M～0M)	time400To0
ラップタイム(400M～200M)	lapTime400To200
ラップタイム(200M～0M)	lapTime200To0
データ区分	dataCategory
データ作成年月日	creationDate
開催年	eventYear
開催月日	eventMonthDay
競馬場コード	raceCourseCode
開催回[第N回]	eventRound
開催日目[N日目]	eventDay
レース番号	raceNumber
発表月日時分	announcementDateTime
<馬体重情報>	HorseWeightInfo
データ区分	dataCategory
データ作成年月日	creationDate
開催年	eventYear
開催月日	eventMonthDay
競馬場コード	raceCourseCode
開催回[第N回]	eventRound
開催日目[N日目]	eventDay
発表月日時分	announcementDateTime
変更識別	changeIdentifier
天候状態	currentWeatherCondition
馬場状態・芝	currentTurfCondition
馬場状態・ダート	currentDirtCondition
天候状態	currentWeatherCondition
馬場状態・芝	currentTurfCondition
馬場状態・ダート	currentDirtCondition
データ区分	dataCategory
データ作成年月日	creationDate
開催年	eventYear
開催月日	eventMonthDay
競馬場コード	raceCourseCode
開催回[第N回]	eventRound
開催日目[N日目]	eventDay
レース番号	raceNumber
発表月日時分	announcementDateTime
馬番	horseNumber
馬名	horseName
事由区分	reasonCategory
データ区分	dataCategory
データ作成年月日	creationDate
開催年	eventYear
開催月日	eventMonthDay
競馬場コード	raceCourseCode
開催回[第N回]	eventRound
開催日目[N日目]	eventDay
レース番号	raceNumber
発表月日時分	announcementDateTime
馬番	horseNumber
馬名	horseName
負担重量	carriedWeight
騎手コード	jockeyCode
騎手見習コード	apprenticeJockeyCode
負担重量	carriedWeight
騎手コード	jockeyCode
